City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
Ouesso,100,CG,1574571790,85,1.61,16.05,72.86,2.71
Pitea,100,SE,1574571561,100,65.32,21.48,35.01,6.93
Petropavlovsk-Kamchatskiy,90,RU,1574571791,100,53.05,158.65,24.8,6.71
Fairbanks,90,US,1574571685,92,64.84,-147.72,24.8,0.74
Saskylakh,99,RU,1574571636,100,71.97,114.09,-30.55,1.45
Kisujszallas,0,HU,1574571791,100,47.22,20.77,36.0,6.93
Zhigansk,100,RU,1574571791,96,66.77,123.37,-17.59,6.17
Lebu,100,ET,1574571628,86,8.96,38.73,56.86,3.24
Tual,72,ID,1574571792,69,-5.67,132.75,83.35,7.9
Lavrentiya,17,RU,1574571662,78,65.58,-170.99,10.74,16.91
Hami,0,CN,1574571792,11,42.84,93.51,32.65,5.08
Socorro,1,US,1574571792,75,31.65,-106.3,52.0,5.82
General Roca,9,AR,1574571792,49,-39.03,-67.58,69.8,6.38
Mahebourg,75,MU,1574571626,100,-20.41,57.7,75.0,6.93
Avarua,100,CK,1574571639,83,-21.21,-159.78,77.0,5.82
Grand Gaube,75,MU,1574571793,100,-20.01,57.66,75.0,6.93
Chokurdakh,81,RU,1574571612,99,70.62,147.9,-25.4,9.24
Vaini,0,IN,1574571399,64,15.34,74.49,73.4,11.41
Sinnamary,14,GF,1574571793,83,5.38,-52.96,81.45,15.12
Luderitz,0,NA,1574571643,68,-26.65,15.16,60.87,17.43
Arlit,12,NE,1574571653,18,18.74,7.39,77.76,7.58
Muravlenko,46,RU,1574571698,97,63.79,74.5,-12.33,6.91
Charters Towers,34,AU,1574571663,34,-20.07,146.27,89.08,14.25
Qaanaaq,100,GL,1574571644,68,77.48,-69.36,16.59,9.93
Port Alfred,71,ZA,1574571669,74,-33.59,26.89,70.0,3.0
Kahului,40,US,1574571640,69,20.89,-156.47,77.0,19.46
Mirnyy,100,RU,1574571795,38,56.57,36.46,23.77,6.51
Irbeyskoye,100,RU,1574571795,55,55.64,95.45,20.59,12.71
Nantucket,1,US,1574571571,70,41.28,-70.1,48.2,9.17
Nocupetaro,87,MX,1574571796,87,19.05,-101.15,69.87,1.95
Mataura,45,NZ,1574571623,62,-46.19,168.86,59.0,21.0
Puerto Ayora,16,EC,1574571615,81,-0.74,-90.35,69.01,5.99
Lorengau,79,PG,1574571681,74,-2.02,147.27,83.43,11.45
Sola,100,TZ,1574571704,88,-3.17,33.8,65.12,4.56
Tiksi,89,RU,1574571617,91,71.64,128.87,-23.57,6.33
Mulchen,68,CL,1574571797,97,-37.72,-72.23,47.93,1.81
Hobart,96,AU,1574571475,28,-42.88,147.33,73.0,16.11
Yar-Sale,0,RU,1574571701,85,66.83,70.83,-10.03,6.89
Khatanga,95,RU,1574571605,99,71.98,102.47,-22.02,5.12
Campos,75,PT,1574571797,100,41.97,-8.7,55.0,8.05
Sungaipenuh,81,ID,1574571798,65,-2.08,101.38,78.73,0.76
Norman Wells,40,CA,1574571688,84,65.28,-126.83,-2.2,2.91
Lebedinyy,100,RU,1574571798,94,58.52,125.52,-13.36,8.23
Punta Arenas,40,CL,1574571615,76,-53.16,-70.91,50.0,10.29
Porto Walter,95,BR,1574571798,99,-8.27,-72.74,69.69,1.05
Krasnyy Chikoy,51,RU,1574571799,78,50.36,108.75,1.92,3.8
Thyboron,100,DK,1574571799,91,56.7,8.21,45.0,5.01
New Norfolk,100,AU,1574571609,28,-42.78,147.06,73.0,16.11
Sungairaya,76,ID,1574571799,77,0.7,108.9,84.31,4.52
Bilibino,9,RU,1574571690,95,68.06,166.44,-28.93,2.8
Huaura,100,PE,1574571800,85,-11.07,-77.6,62.42,3.8
The Valley,20,AI,1574571730,69,18.22,-63.06,79.0,6.93
Seoul,90,KR,1574571763,93,37.57,126.98,66.2,1.12
Cabedelo,40,BR,1574571800,78,-6.97,-34.84,77.0,3.36
Mattru,36,SL,1574571801,94,7.62,-11.83,74.55,2.3
Kodiak,1,US,1574571668,86,39.95,-94.76,37.0,6.93
Georgetown,20,GY,1574571362,100,6.8,-58.16,75.2,2.24
Cape Town,75,ZA,1574571546,87,-33.93,18.42,63.0,4.7
Tselinnoye,100,UA,1574571801,80,45.9,34.18,39.25,15.73
Kovdor,99,RU,1574571801,92,67.56,30.47,28.08,9.71
Codrington,22,AU,1574571680,37,-28.95,153.24,91.4,17.22
Dolores,3,UY,1574571802,70,-33.53,-58.22,61.0,4.0
Ponta do Sol,99,BR,1574571609,92,-20.63,-46.0,65.88,2.04
Tasiilaq,2,GL,1574571334,73,65.61,-37.64,19.4,2.24
Mweka,100,CD,1574571802,82,-4.85,21.56,71.92,2.19
Vostok,100,RU,1574571640,87,46.45,135.83,16.02,8.93
Los Llanos de Aridane,2,ES,1574571632,68,28.66,-17.92,66.2,5.82
Aquiraz,75,BR,1574571763,83,-3.9,-38.39,86.0,9.17
Fare,90,PF,1574571640,77,-16.7,-151.02,81.64,13.71
Bathsheba,40,BB,1574571622,78,13.22,-59.52,80.6,10.29
Chernyshevskiy,100,RU,1574571803,96,63.01,112.47,-8.91,3.51
San Clemente,1,US,1574571804,54,33.43,-117.61,64.99,4.7
Santa Cruz,72,BR,1574571656,75,-6.22,-36.02,74.86,6.51
Oriximina,29,BR,1574571804,74,-1.77,-55.87,76.05,4.29
Ambon,90,FR,1574571804,100,47.55,-2.56,48.0,6.93
Isabela,45,PH,1574571804,71,10.2,122.99,82.8,8.57
Jega,3,NG,1574571805,27,12.22,4.38,75.99,6.58
Puerto Ayacucho,84,CO,1574571805,97,5.66,-67.63,72.54,1.99
Touros,40,BR,1574571694,78,-5.2,-35.46,77.0,5.82
Hobyo,92,SO,1574571805,68,5.35,48.53,83.86,21.56
Saint-Augustin,20,CA,1574571690,92,45.63,-73.98,30.99,1.66
Cidreira,53,BR,1574571606,62,-30.17,-50.22,66.04,13.87
Phan Thiet,4,VN,1574571716,63,10.93,108.1,86.31,7.87
Kapaa,90,US,1574571616,74,22.08,-159.32,82.4,19.46
Saint-Georges,35,CA,1574571806,78,46.12,-70.67,30.99,1.99
Buala,87,SB,1574571806,63,-8.15,159.59,83.95,3.27
Namatanai,54,PG,1574571608,63,-3.66,152.44,85.14,10.07
Sehithwa,19,BW,1574571807,51,-20.47,22.7,81.48,4.12
Aklavik,20,CA,1574571693,84,68.22,-135.01,-0.4,10.07
Boende,99,CD,1574571635,93,-0.28,20.88,69.21,2.24
Japura,21,ID,1574571807,48,-0.42,102.29,93.06,3.31
Koroni,75,GR,1574571807,87,36.8,21.96,59.0,6.93
Bielefeld,87,DE,1574571808,86,52.01,8.54,43.0,14.99
Portland,1,US,1574571753,85,43.66,-70.25,33.01,16.87
Clearwater,75,US,1574571808,88,27.97,-82.8,75.2,8.05
Naantali,12,FI,1574571808,92,60.45,22.03,34.0,4.7
Torbay,20,CA,1574571620,86,47.66,-52.73,34.0,12.75
Arona,75,IT,1574571808,100,45.76,8.56,53.6,14.99
Hithadhoo,61,MV,1574571654,79,-0.6,73.08,82.87,14.36
Maracas,40,TT,1574571809,94,10.76,-61.44,77.0,12.88
Nambucca Heads,36,AU,1574571809,69,-30.64,152.99,78.01,17.22
Lata,76,IN,1574571680,47,30.78,78.62,29.86,3.67
Sao Joao da Barra,99,BR,1574571716,89,-21.64,-41.05,72.99,16.49
Sao Filipe,31,CV,1574571713,78,14.9,-24.5,72.16,11.65
Geraldton,90,CA,1574571675,92,49.72,-86.95,30.2,4.7
Gratkorn,75,AT,1574571810,93,47.13,15.34,44.6,2.24
Kudahuvadhoo,48,MV,1574571810,77,2.67,72.89,83.77,11.86
Nuuk,100,GL,1574571665,60,64.17,-51.74,39.2,31.09
Tuktoyaktuk,90,CA,1574571643,85,69.44,-133.03,10.4,5.82
Rivadavia,0,AR,1574571811,56,-31.53,-68.59,74.5,25.48
Brae,100,GB,1574571642,93,60.4,-1.35,48.2,23.04
Shingu,75,JP,1574571627,72,33.72,135.99,66.2,3.36
Pauini,100,BR,1574571812,93,-7.71,-67.0,73.62,1.25
Abu Samrah,98,SY,1574571812,43,35.3,37.18,52.88,8.59
Kawambwa,100,ZM,1574571812,92,-9.8,29.07,68.05,7.05
Kruisfontein,8,ZA,1574571669,62,-34.0,24.73,66.25,6.89
Carnarvon,0,ZA,1574571628,33,-30.97,22.13,65.48,1.36
Sept-Iles,20,CA,1574571586,85,50.2,-66.38,23.0,6.93
Flinders,90,AU,1574571646,68,-34.58,150.85,71.01,10.29
Longyearbyen,90,NO,1574571670,85,78.22,15.63,19.4,10.29
Santa Isabel,1,MX,1574571813,62,32.63,-115.58,60.8,5.82
Anupgarh,32,IN,1574571813,36,29.19,73.21,73.76,3.51
Padang,100,ID,1574571813,71,-0.92,100.36,79.9,4.7
Fujin,100,CN,1574571814,59,47.24,132.03,16.79,11.45
Bonito,2,BR,1574571814,96,-1.36,-47.3,73.18,3.51
Salalah,0,OM,1574571662,34,17.01,54.1,80.6,11.41
Airai,1,TL,1574571640,37,-8.93,125.41,84.76,7.74
Bluff,23,AU,1574571618,31,-23.58,149.07,87.91,16.42
Ust-Kulom,100,RU,1574571814,95,61.69,53.69,23.36,5.12
Balikpapan,83,ID,1574571814,54,-1.24,116.86,90.03,6.49
Roebourne,61,AU,1574571815,9,-20.77,117.15,107.83,6.4
Arraial do Cabo,58,BR,1574571678,86,-22.97,-42.02,73.24,17.43
Barra,0,GM,1574571815,73,13.49,-16.54,69.8,4.7
Peleduy,100,RU,1574571815,93,59.63,112.75,3.43,12.39
Saint Anthony,1,US,1574571661,73,43.97,-111.68,28.99,3.36
Hope,1,US,1574571816,100,33.67,-93.59,37.99,2.89
Standerton,15,ZA,1574571816,87,-26.94,29.24,64.0,4.0
Praia da Vitoria,20,PT,1574571816,94,38.73,-27.07,68.0,13.96
Sitka,0,US,1574571675,74,37.17,-99.65,34.0,9.17
Inhambane,40,MZ,1574571634,88,-23.87,35.38,80.6,9.17
Oktyabrskiy,99,RU,1574571816,85,55.61,37.97,19.4,4.47
Pagudpud,40,PH,1574571817,74,18.56,120.79,86.0,5.82
Waipawa,14,NZ,1574571721,67,-39.94,176.59,72.0,5.99
Kulhudhuffushi,12,MV,1574571817,78,6.62,73.07,83.14,19.42
Kholm-Zhirkovskiy,100,RU,1574571817,41,55.52,33.47,21.47,6.93
Alcaniz,14,ES,1574571817,72,41.05,-0.13,43.39,26.02
Margate,96,AU,1574571630,28,-43.03,147.26,73.0,16.11
Ugoofaaru,47,MV,1574571818,78,5.67,73.0,83.39,18.41
Chapais,90,CA,1574571818,92,49.78,-74.86,28.4,9.17
Rawson,100,AR,1574571711,63,-43.3,-65.11,60.82,24.58
Tangjiazhuang,100,CN,1574571819,68,33.27,105.76,37.45,9.57
Sergeyevka,95,KZ,1574571819,92,53.88,67.42,15.51,9.13
Port Elizabeth,90,US,1574571624,93,39.31,-74.98,54.0,5.82
Nhulunbuy,0,AU,1574571716,55,-12.18,136.78,87.8,9.17
Angoche,100,MZ,1574571656,62,-16.23,39.91,87.19,6.31
Vilyuysk,100,RU,1574571820,95,63.75,121.63,-10.62,6.15
Grong,11,NO,1574571820,88,64.47,12.32,36.0,1.01
Esperance,84,AU,1574571617,49,-33.86,121.89,71.6,16.11
Pisco,90,PE,1574571692,82,-13.71,-76.2,68.0,14.99
Juegang,37,CN,1574571820,84,32.31,121.18,71.01,1.01
Prince Albert,20,CA,1574571646,86,53.2,-105.75,32.0,2.24
Dunmore East,89,IE,1574571822,94,52.15,-6.99,45.0,1.7
Zyryanovsk,100,KZ,1574571822,68,49.74,84.27,8.08,2.77
Rocha,28,UY,1574571714,84,-34.48,-54.34,53.69,3.53
Chuy,0,UY,1574571701,74,-33.69,-53.46,58.35,9.62
Torres,70,BR,1574571822,58,-29.34,-49.73,65.97,11.32
Atambua,2,ID,1574571810,64,-9.11,124.89,84.31,7.2
Guiratinga,72,BR,1574571823,88,-16.35,-53.76,70.09,2.93
Vila Franca do Campo,75,PT,1574571823,94,37.72,-25.43,68.0,17.22
Rio Gallegos,90,AR,1574571610,66,-51.62,-69.22,55.4,9.17
Bethel,90,US,1574571565,92,60.79,-161.76,21.2,5.82
Bambous Virieux,75,MU,1574571654,100,-20.34,57.76,75.0,6.93
Cap Malheureux,75,MU,1574571645,100,-19.98,57.61,75.0,6.93
Saint-Philippe,75,CA,1574571621,79,45.36,-73.48,32.0,4.7
Ojinaga,1,US,1574571824,34,29.56,-104.41,53.6,4.7
Hirara,75,JP,1574571676,78,24.8,125.28,80.6,6.93
Vaitape,87,PF,1574571755,77,-16.52,-151.75,81.52,13.24
Kaitangata,5,NZ,1574571631,66,-46.28,169.85,53.89,31.36
Tuatapere,3,NZ,1574571825,62,-46.13,167.69,59.0,21.0
Iqaluit,75,CA,1574571658,68,63.75,-68.52,26.6,10.29
Gull Lake,90,CA,1574571611,74,50.1,-108.48,37.4,6.93
Ahuimanu,40,US,1574571825,88,21.44,-157.84,80.6,16.11
Mosquera,40,CO,1574571668,93,4.71,-74.23,53.6,2.24
Wilmington,90,US,1574571826,93,39.75,-75.55,39.99,12.75
Praya,75,ID,1574571562,55,-8.71,116.27,91.4,11.41
Thompson,90,CA,1574571677,92,55.74,-97.86,21.2,6.93
Osoyoos,90,CA,1574571645,88,49.03,-119.47,39.2,24.16
Marzuq,0,YE,1574571826,42,14.4,46.47,73.29,2.28
Port Blair,20,IN,1574571612,58,11.67,92.75,87.8,10.29
Saint George,40,GR,1574571715,93,39.45,22.34,53.6,4.7
Elliot,79,ZA,1574571828,75,-31.33,27.85,63.09,2.82
Nanchang,79,CN,1574571828,36,28.68,115.89,78.66,13.42
Lagoa,13,PT,1574571828,93,37.14,-8.45,52.0,2.24
Kurilsk,100,RU,1574571828,98,45.23,147.88,45.37,21.52
Ancud,40,CL,1574571705,100,-41.87,-73.83,50.0,9.17
Tripoli,75,GR,1574571602,87,37.51,22.37,59.0,6.93
Nioro,0,GM,1574571829,29,13.79,-15.05,73.27,7.27
Lodja,100,CD,1574571829,93,-3.52,23.6,67.71,1.23
Hambantota,75,LK,1574571721,100,6.12,81.12,78.8,5.82
Progreso,20,UY,1574571688,71,-34.68,-56.22,63.0,6.93
Upata,34,VE,1574571830,98,8.02,-62.41,69.75,2.48
Sao Gabriel da Cachoeira,73,BR,1574571616,97,-0.13,-67.09,73.2,1.99
Port Macquarie,40,AU,1574571830,73,-31.43,152.91,78.01,9.17
Grindavik,57,IS,1574571830,93,63.84,-22.43,35.6,6.93
Kidal,0,ML,1574571703,14,18.44,1.41,70.72,8.77
Betong,61,MY,1574571831,49,5.77,101.07,87.53,3.98
Gamba,29,CN,1574571831,26,28.28,88.52,36.18,4.72
Vilhena,100,BR,1574571672,98,-12.74,-60.15,68.79,1.34
Sechura,63,PE,1574571831,85,-5.56,-80.82,66.13,11.86
Port-Gentil,71,GA,1574571831,84,-0.72,8.78,79.95,13.24
Parabel,100,RU,1574571831,93,58.71,81.5,8.53,5.03
Lompoc,1,US,1574571677,76,34.64,-120.46,64.4,4.7
Volokolamsk,100,RU,1574571832,40,56.03,35.95,22.24,7.67
Mahajanga,40,MG,1574571832,100,-15.72,46.32,73.4,1.12
Candeias,100,BR,1574571832,94,-20.77,-45.28,64.76,4.9
Gornopravdinsk,100,RU,1574571833,92,60.06,69.92,10.76,8.52
Delta del Tigre,20,UY,1574571833,71,-34.76,-56.41,63.0,6.93
Sorland,100,NO,1574571833,88,67.67,12.69,46.22,16.24
San Cristobal,27,HN,1574571834,95,14.68,-86.92,65.05,3.02
Rincon,3,PA,1574571834,61,8.46,-82.28,66.0,1.01
Yellowknife,75,CA,1574571617,85,62.45,-114.38,17.6,12.75
Kutum,9,SD,1574571708,21,14.2,24.66,65.66,8.63
Yulara,66,AU,1574571649,7,-25.24,130.99,96.8,9.17
Ust-Kuyga,100,RU,1574571649,96,70.0,135.55,-28.44,8.32
Ostersund,100,SE,1574571835,97,63.18,14.64,35.6,11.41
Katsuura,75,JP,1574571632,82,33.93,134.5,66.0,3.36
Laureles,90,MX,1574571835,68,29.18,-110.87,66.99,5.7
San Patricio,0,PY,1574571607,69,-26.98,-56.83,65.5,10.33
Zhanaozen,0,KZ,1574571835,40,43.35,52.85,24.69,4.43
Poum,40,MK,1574571835,86,41.28,20.71,39.2,1.12
Luebo,100,CD,1574571836,94,-5.35,21.42,69.31,1.43
Zhongxing,0,CN,1574571836,45,19.57,109.85,82.36,5.32
Broken Hill,0,AU,1574571626,14,-31.97,141.45,82.4,8.05
Marsa Matruh,79,EG,1574571607,82,31.35,27.25,55.4,9.31
Anjiang,86,CN,1574571836,70,27.32,110.14,65.43,8.75
Nalut,18,LY,1574571836,73,31.86,10.98,54.27,4.61
Chipata,97,ZM,1574571837,53,-13.64,32.65,82.92,2.77
Nouakchott,0,MR,1574571837,63,18.08,-15.98,60.8,10.29
Bandarbeyla,70,SO,1574571694,78,9.49,50.81,81.27,20.65
Mount Gambier,75,AU,1574571621,52,-37.83,140.78,68.0,11.41
Mbekenyera,99,TZ,1574571838,63,-10.0,38.98,82.69,5.3
Buraydah,20,SA,1574571702,93,26.33,43.97,57.2,5.82
Gazanjyk,0,TM,1574571839,42,39.24,55.52,27.3,10.76
Mantua,75,IT,1574571839,82,45.16,10.79,55.99,6.93
Manono,100,CD,1574571839,95,-7.3,27.4,69.22,4.0
Vanimo,100,PG,1574571620,74,-2.67,141.3,84.63,18.68
Marawi,24,PH,1574571839,81,8.0,124.29,84.0,5.01
Chaman,0,AF,1574571839,45,30.92,66.46,48.85,3.0
La Rioja,77,AR,1574571840,73,-29.41,-66.86,64.65,6.08
Skelleftea,100,SE,1574571840,100,64.75,20.95,35.6,6.93
Pori,24,FI,1574571840,92,61.49,21.79,24.8,2.24
Chumphon,20,TH,1574571840,62,10.5,99.18,89.6,6.93
Point Pedro,1,LK,1574571840,79,9.82,80.23,82.78,15.88
Namibe,16,AO,1574571642,67,-15.19,12.15,71.67,5.08
Haines Junction,91,CA,1574571841,96,60.75,-137.51,17.01,6.69
Coihaique,76,CL,1574571635,76,-45.58,-72.07,53.6,3.36
Vila Velha,75,BR,1574571675,83,-3.71,-38.6,86.0,9.17
Pevek,100,RU,1574571614,99,69.7,170.27,-17.9,7.58
Mazara del Vallo,40,IT,1574571841,82,37.65,12.59,57.2,12.75
Reyes,91,BO,1574571842,94,-14.3,-67.34,69.01,1.68
Fort Nelson,20,CA,1574571636,85,58.81,-122.69,23.0,1.54
Maniitsoq,100,GL,1574571842,97,65.42,-52.9,32.74,22.19
Hongjiang,94,CN,1574571842,74,27.21,109.83,68.23,5.32
Morro Bay,1,US,1574571824,44,35.37,-120.85,64.4,5.82
Pedasi,4,PA,1574571842,81,7.53,-80.03,77.92,4.56
Hualmay,100,PE,1574571720,85,-11.1,-77.61,62.42,3.8
Talnakh,20,RU,1574571629,82,69.49,88.39,-16.6,4.47
Salinas,1,US,1574571843,66,36.67,-121.66,57.99,2.21
Faanui,87,PF,1574571391,77,-16.48,-151.75,81.52,13.24
Baherden,0,TM,1574571843,56,38.44,57.43,31.77,11.32
Bambanglipuro,87,ID,1574571844,58,-7.95,110.28,87.57,13.42
Nome,1,US,1574571695,81,30.04,-94.42,54.0,4.7
Iranshahr,0,IR,1574571845,33,27.21,60.69,57.2,11.41
Khani,0,GE,1574571845,45,41.96,42.96,44.6,32.21
Ban Nahin,0,LA,1574571627,40,18.24,104.21,87.73,1.92
Zirandaro,66,MX,1574571846,77,18.45,-100.98,76.08,1.54
Labuhan,58,ID,1574571683,58,-2.54,115.51,90.3,2.51
Sandviken,100,SE,1574571846,96,60.62,16.77,36.0,1.01
Zinacantan,5,MX,1574571846,73,16.76,-92.72,75.2,8.05
Soma,75,JP,1574571846,93,37.8,140.92,64.99,8.05
Mogadishu,75,SO,1574571846,69,2.04,45.34,80.6,11.41
Shache,86,CN,1574571847,96,38.42,77.24,39.0,6.53
Caravelas,36,BR,1574571704,89,-17.73,-39.27,73.96,7.23
Vanderhoof,39,CA,1574571847,71,54.02,-124.02,37.87,17.05
Atar,0,MR,1574571678,53,20.52,-13.05,64.83,9.06
Kakinada,20,IN,1574571847,74,16.93,82.22,82.4,8.05
Snyder,1,US,1574571652,52,32.72,-100.92,50.0,2.95
Ahipara,28,NZ,1574571631,67,-35.17,173.16,75.0,3.0
Nekrasovskoye,100,RU,1574571848,62,57.68,40.37,19.4,6.71
Mathathane,92,BW,1574571848,57,-22.27,28.75,80.64,10.76
La Ronge,5,CA,1574571699,74,55.1,-105.3,35.6,9.17
Baruun-Urt,0,MN,1574571848,63,46.68,113.28,5.72,17.34
Cherskiy,35,RU,1574571686,87,68.75,161.3,-25.62,2.35
Eureka,1,US,1574571619,87,40.8,-124.16,46.4,2.62
Along,25,IN,1574571849,64,28.17,94.8,72.09,3.42
Luoyang,100,CN,1574571849,15,34.66,112.42,53.35,9.95
San Quintin,92,PH,1574571617,69,17.54,120.52,83.66,5.95
Kaduqli,84,SD,1574571849,22,11.01,29.72,77.22,9.82
Pangnirtung,91,CA,1574571615,82,66.15,-65.72,19.29,7.85
Alofi,91,NU,1574571656,100,-19.06,-169.92,75.2,4.7
Husavik,37,CA,1574571615,78,50.56,-96.99,39.0,8.01
Thinadhoo,36,MV,1574571850,79,0.53,72.93,83.25,13.67
Sonegaon,20,IN,1574571850,47,21.19,79.31,77.0,3.36
Saint Pete Beach,1,US,1574571850,94,27.73,-82.74,75.2,12.75
East Foothills,1,US,1574571850,57,37.38,-121.82,57.99,4.7
Teguise,20,ES,1574571850,93,29.06,-13.56,64.4,6.93
Mbandaka,100,CD,1574571851,87,0.05,18.26,73.24,3.2
Hofn,100,IS,1574571851,90,64.25,-15.21,45.14,24.7
Saint-Pierre,53,FR,1574571851,100,48.95,4.24,41.0,8.05
Diffa,0,NE,1574571851,26,13.32,12.61,76.21,9.62
Saldanha,52,PT,1574571631,98,41.42,-6.55,38.32,5.46
Pinheiro,10,BR,1574571852,98,-2.53,-45.09,73.11,0.98
Swan River,0,CA,1574571852,87,52.11,-101.27,31.53,12.3
Port Hardy,40,CA,1574571646,93,50.7,-127.42,46.4,8.05
High Level,5,CA,1574571664,59,58.52,-117.13,33.8,5.82
Jaca,70,ES,1574571853,86,42.57,-0.55,44.01,13.87
Bam,0,IR,1574571713,27,29.11,58.36,57.25,2.17
Tura,98,RU,1574571637,96,64.27,100.22,-20.61,4.92
Srednekolymsk,100,RU,1574571646,98,67.46,153.71,-18.78,5.44
Save,3,BJ,1574571853,91,8.04,2.49,75.61,3.18
Turukhansk,0,RU,1574571854,90,65.8,87.96,-16.28,3.51
Koygorodok,96,RU,1574571854,97,60.44,51.01,11.17,3.27
Bowen,35,AU,1574571854,38,-20.01,148.25,89.6,12.75
Ngorongoro,100,TZ,1574571854,77,-3.24,35.49,67.8,4.32
Iberia,100,PE,1574571854,99,-11.41,-69.49,71.31,3.51
Moerai,100,PF,1574571854,89,-22.43,-151.33,74.46,21.68
Klaksvik,100,FO,1574571628,87,62.23,-6.59,46.4,9.17
Belaya Gora,76,RU,1574571855,100,68.54,146.19,-29.33,3.74
Ternate,75,PH,1574571855,79,14.29,120.72,91.0,3.36
Ostrovnoy,100,RU,1574571676,92,68.05,39.51,28.09,20.54
Minab,0,IR,1574571855,52,27.15,57.07,66.2,10.36
Westport,90,US,1574571856,70,41.14,-73.36,44.6,4.7
Taltal,22,CL,1574571856,92,-25.41,-70.49,56.16,5.19
Kangaatsiaq,100,GL,1574571856,84,68.31,-53.46,34.48,28.95
Alexandria,100,RO,1574571783,99,43.97,25.33,37.0,1.01
Baykit,100,RU,1574571652,90,61.68,96.39,7.12,5.53
Beringovskiy,0,RU,1574571696,86,63.05,179.32,6.01,12.48
Tessalit,0,ML,1574571857,10,20.2,1.01,64.24,4.27
Posse,87,BR,1574571857,92,-14.08,-46.36,69.21,1.32
Marovoay,40,MG,1574571857,100,-16.11,46.64,73.4,1.12
Ponta Delgada,75,PT,1574571857,94,37.73,-25.67,68.0,17.22
Tuni,75,BO,1574571857,87,-16.67,-68.14,42.8,6.93
Sabang,76,PH,1574571858,61,13.8,121.11,86.7,9.78
Quatre Cocos,75,MU,1574571635,100,-20.21,57.76,75.0,6.93
Cabo San Lucas,5,MX,1574571582,82,22.89,-109.91,71.01,4.7
North Platte,1,US,1574571678,68,41.12,-100.77,37.0,5.82
Sisimiut,100,GL,1574571617,77,66.94,-53.67,27.68,10.74
Chifeng,0,CN,1574571858,25,42.27,118.96,19.24,23.24
San Luis,27,AR,1574571787,49,-33.3,-66.34,71.22,8.25
Hay River,20,CA,1574571639,92,60.82,-115.79,19.4,2.24
Gubkinskiy,1,RU,1574571859,96,64.43,76.5,-13.77,7.34
Kimberley,0,ZA,1574571860,20,-28.74,24.76,66.2,8.05
Leeton,0,AU,1574571860,15,-34.55,146.4,88.0,10.29
San Andres,54,PH,1574571860,80,13.32,122.68,83.03,8.39
Cerro Largo,0,BR,1574571860,72,-28.15,-54.74,62.01,18.34
Muros,75,ES,1574571695,100,42.77,-9.06,55.0,5.82
Acapulco,40,MX,1574571861,83,16.86,-99.88,80.6,1.77
Yumen,0,CN,1574571861,17,40.29,97.04,25.5,22.62
Port Lincoln,50,AU,1574571641,31,-34.72,135.86,73.4,7.11
Polunochnoye,92,RU,1574571861,93,60.87,60.43,18.25,1.81
